brand,j_type,rating_no_clean,rating,review_no_clean,review_num,price_no_clean,price
GUESS,UBE21543N Stud Earring For Women  ,5.0 out of 5 stars,5,2,2,SAR 65.28,65.28
Swarovski,"Iconic Swan Pierced Earring Jackets, Rose Gold  ",,,,,SAR 327.96,327.96
GUESS,UBN70029 UBN70029 Necklace  ,3.0 out of 5 stars,3,2,2,SAR 145.17,145.17
Swarovski,"Magic Ring Set White, Rose-gold tone plated  ",,,,,SAR 392.66,392.66
GUESS,Women's Six Piece Textured Bangle Set  ,4.3 out of 5 stars,4.3,659,659,SAR 100.56,100.56
Swarovski,"Power Collection Bracelet, Dark Gray  ",4.5 out of 5 stars,4.5,327,327,SAR 218.48,218.48
GUESS,"Neklace for Women, UBN71263N  ",5.0 out of 5 stars,5,2,2,SAR 100.00,100
Swarovski,"Women's Symbolic Star Hoop Pierced Earrings, White, Rose-gold tone plated  ",4.6 out of 5 stars,4.6,455,455,SAR 297.00,297
GUESS,"Bracelet Items Women's Slider Bracelet Duo, Rose Gold, One Size  ",3.5 out of 5 stars,3.5,3,3,SAR 91.82,91.82
GUESS,Womens Link Bracelet III  ,4.1 out of 5 stars,4.1,33,33,SAR 72.84,72.84
GUESS,Bracelet for Women - Guess Log - Silver - UBB11203  ,,,,,SAR 325.90,325.9
GUESS,Charm Slider Bracelet  ,2.5 out of 5 stars,2.5,3,3,SAR 90.85,90.85
GUESS,Women's Bracelet UBB28118-S  ,,,,,SAR 138.26,138.26
GUESS,Bracelet A Star Is Born Ubb70075-S Stainless Steel Curved Rodiado Stars Swarovski Logo  ,,,,,SAR 110.12,110.12
GUESS,Women Stud Earrings UBE28065  ,4.6 out of 5 stars,4.6,11,11,SAR 127.43,127.43
GUESS,4 Piece Mixed Bracelet Set  ,3.5 out of 5 stars,3.5,2,2,SAR 108.33,108.33
GUESS,Womens Double Row Round Bead and Fireball Slider Bracelet  ,4.2 out of 5 stars,4.2,253,253,SAR 83.16,83.16
Swarovski,"Slake Wrap Bracelet, Dark Green  ",4.8 out of 5 stars,4.8,22,22,SAR 221.87,221.87
GUESS,Women Stud Earrings UBE28008  ,4.4 out of 5 stars,4.4,24,24,SAR 127.43,127.43
GUESS,Jewellery Heart Warming Necklace UBN78067  ,4.6 out of 5 stars,4.6,6,6,SAR 158.90,158.9
Swarovski,"Women's Deluxe Rhodium Plated Rose Cut Crystals Tennis Bracelet , Blue/White Crystal  ",4.6 out of 5 stars,4.6,164,164,,
GUESS,Ladies Bracelet UBB70059-L  ,,,,,SAR 95.70,95.7
Swarovski,"Iconic Swan Pierced Earring Jackets, Silver  ",,,,,SAR 327.96,327.96
Swarovski,"Women's Lifelong Bracelet Collection, Rose-Gold Finish, Rhodium Finish  ",4.8 out of 5 stars,4.8,49,49,SAR 481.43,481.43
GUESS,"Womens Stainless Steel Swarovski Studded Necklace - UBN29094, Color Silver, Size 7.87 inches  ",,,,,SAR 185.22,185.22
GUESS,"Womens Stainless Steel Earring - UBE29074, Color Multicolor  ",3.5 out of 5 stars,3.5,3,3,SAR 128.04,128.04
GUESS,"Women's Metal Swarovski Wild At Heart Bracelet,Silver - UBB71206  ",,,,,SAR 327.76,327.76
GUESS,Earring for Women - UBE21202N  ,,,,,SAR 117.80,117.8
Swarovski,"Ring for Women Size 48, 5296473  ",4.5 out of 5 stars,4.5,4,4,SAR 356.04,356.04
GUESS,"""Basic"" Mixed Metal Crystal Trio Set Stud Earrings  ",3.9 out of 5 stars,3.9,15,15,SAR 75.76,75.76
GUESS,Necklace for Women - UBN71247N  ,5.0 out of 5 stars,5,1,1,,
GUESS,Set of Three Logo Studs  ,4.4 out of 5 stars,4.4,53,53,SAR 78.51,78.51
GUESS,82075504,4.1 out of 5 stars,4.1,9,9,SAR 70.03,70.03
Swarovski,"Lifelong Bow Bangle, White 5447079  ",3.8 out of 5 stars,3.8,9,9,SAR 369.24,369.24
GUESS,Ladies Bracelet UBB70007-L  ,,,,,SAR 110.05,110.05
GUESS,Jewellery Influencer Bangle UBB85095-L  ,5.0 out of 5 stars,5,1,1,SAR 143.76,143.76
GUESS,Metal Neck with Tassel Y-Shaped Necklace  ,5.0 out of 5 stars,5,1,1,SAR 99.21,99.21
Swarovski,"Symbolic Lotus Pendant, Green, Gold-tone plated  ",4.7 out of 5 stars,4.7,66,66,SAR 316.22,316.22
GUESS,Women's Necklace UBN79067  ,5.0 out of 5 stars,5,1,1,SAR 119.58,119.58
GUESS,86093842,3.9 out of 5 stars,3.9,33,33,SAR 83.35,83.35
GUESS,Bracelet Femmes UBB28075  ,,,,,SAR 166.95,166.95
Swarovski,"Ring for Women Size 20, 5061171  ",,,,,SAR 146.59,146.59
GUESS,Women's Necklace UBN20128  ,,,,,SAR 185.86,185.86
GUESS,Necklace Jewellery Collection - UBN79038 Cuore  ,5.0 out of 5 stars,5,1,1,SAR 134.99,134.99
GUESS,"Womens Stainless Steel Fashion Bracelet - UBN78075, Color Multicolor, Size 84 cm  ",,,,,SAR 154.78,154.78
Swarovski,Ego Rhodium Plated Crystal Fashion Ring - Size 18.15 mm  ,,,,,SAR 823.61,823.61
Swarovski,"Women's Stone Hoop Pierced Earrings, White, Rhodium plated  ",4.5 out of 5 stars,4.5,396,396,SAR 386.96,386.96
GUESS,Earring for Women - UBE21509N  ,,,,,SAR 73.95,73.95
GUESS,"Pendant Necklaces for Women,Stainless Steel - UBN31218N  ",5.0 out of 5 stars,5,1,1,SAR 156.31,156.31
GUESS,women's EARRING UBE71541N  ,2.9 out of 5 stars,2.9,2,2,SAR 98.90,98.9
Swarovski,"Women's Symbolic Moon Necklace Set, Multi-colored, Mixed metal finish  ",4.4 out of 5 stars,4.4,109,109,SAR 452.84,452.84
Swarovski,"Power Collection Bracelet, Green  ",4.5 out of 5 stars,4.5,175,175,SAR 309.00,309
GUESS,Women Stainless-Steel Zircon-Gemstone Bracelet  ,5.0 out of 5 stars,5,1,1,SAR 286.48,286.48
